,feature_0,feature_1,feature_2,feature_3,feature_4,target
0,0.98516903,0.513267433,-0.484233117,0.226744699,-0.560804752,0
1,1.724012707,1.477894045,-1.046328788,0.607775815,-0.779900738,0
2,0.32734511,-0.802277269,0.552585784,-0.681334579,-0.908975092,0
3,-0.805298385,-0.420645323,1.90182262,-1.782515168,-1.066902658,0
4,1.342382881,0.097077549,-0.857820273,0.518955646,-0.563599649,0
5,1.038748044,-0.518270218,-0.667207992,0.405198442,-0.432655779,0
6,0.627896648,-0.702053094,-1.501715782,1.409832178,0.850964787,1
7,0.833198729,0.968644991,-0.75275656,0.555765436,-0.126673487,0
8,-0.117467123,0.32875111,-0.159001937,0.202824528,0.286387534,0
9,-0.049735825,-1.415370742,1.749427332,-1.84085378,-1.718794286,0
10,3.400725479,-0.529760204,-1.410336779,0.505694962,-2.200401408,0
11,0.997810074,-1.463514948,-0.262557176,-0.01203096,-0.798812926,0
12,0.628731081,-0.392108153,0.458598452,-0.669397043,-1.135383549,0
13,3.66955553,-1.987568915,-1.794809957,0.835181247,-2.097858548,0
14,0.121581534,0.005113457,0.527546699,-0.59487777,-0.664049767,0
15,-0.835648093,-0.327662147,0.15814032,0.075560305,0.731530144,1
16,-0.464417094,-0.501757044,-0.204061408,0.351615908,0.702246445,0
17,2.357158812,0.091760777,-1.115721894,0.497048194,-1.385231677,0
18,0.948385079,0.915402118,-0.776253117,0.547151341,-0.225787979,0
19,0.13433357,-0.234587133,0.93093986,-1.026403626,-1.086224368,0
20,0.848489978,-0.808493603,-0.358545017,0.133237812,-0.542258233,0
21,-0.24756481,0.404050857,0.701331561,-0.671717149,-0.446156981,0
22,1.174067678,-0.342714517,-0.180977774,-0.149861098,-1.069518702,0
23,-1.962459033,0.174577813,1.223876838,-0.726655605,0.854515403,1
24,1.250541394,0.296120277,-0.181011164,-0.172088728,-1.151088041,0
25,4.211890057,0.357112572,-1.824213474,0.708480258,-2.646789273,0
26,-0.603359557,-0.161285712,1.834042109,-1.769419875,-1.213736558,0
27,-0.560363119,0.261055272,2.113176165,-2.077969073,-1.542331293,0
28,1.458868081,-0.219671888,-0.832296356,0.457975391,-0.71374934,0
29,-0.094037286,1.886185901,1.477210421,-1.539260553,-1.39581286,0
30,-0.480899718700941,0.5379826832045354,2.0048055860705656,-1.9861714333670406,-1.5173640875210148,0
31,1.4270245614233166,-0.13308220194535142,-0.8392738205247906,0.4746455426062439,-0.6727029699479121,0
32,1.359168035581865,0.0514349414948089,-0.8541423560424836,0.5101685811487009,-0.5852357519028087,0
33,-0.5353704899636462,-0.4044764820963471,-0.18241477048071214,0.34931480569911194,0.7560347234056409,1
34,0.035538797781733744,-0.5505213981841488,-0.8299025024274344,0.8697964714339378,0.8026245850320535,1
35,-0.4605319288755455,-0.333705944784267,-0.35646267321308756,0.5121120794747815,0.8524567025497671,1
36,-1.3653150361820992,-0.09158003693715328,0.6590987183330818,-0.3015280189931501,0.7893403975914222,1
37,0.1451503686231167,-0.5785612514662719,-0.9542167304889286,0.9697262049308957,0.8115695926326852,1
38,-0.13827943598925085,-0.5060567697212555,-0.6327693039120967,0.7113313600928944,0.7884399016973004,1
39,0.045890765655806076,-0.5531695461683637,-0.8416430229336584,0.8792340644077862,0.8034693720431717,1
40,-0.9031315367882669,-0.29758355891948185,0.2219660851328415,0.027516493614446344,0.7388955932673917,1
41,-0.7866973616113824,-0.34018428600096084,0.10262362282185752,0.12018728648194896,0.7355248378171455,1
42,0.1872820960081496,-0.5893390137529585,-1.0019997622123487,1.0081364955328371,0.815007811962944,1
43,-0.1753095539969013,-0.4965840555909493,-0.59077218171221,0.6775720608194609,0.7854180064312427,1
44,-0.7138953317302853,-0.3588078512034039,0.02005635299342856,0.18655881448954628,0.7414659506543131,1
45,-0.40851465588432995,-0.4369276088182941,-0.3262863067393039,0.46496564068645635,0.7663869735496154,1
46,-1.0713617511860485,-0.2226003180308789,0.38107803244379423,-0.09225244875365968,0.7572570022268545,1
47,0.1560822870344895,-0.5813577572183025,-0.9666149927171712,0.9796925222190567,0.8124617073294149,1
48,-1.1237488167132406,-0.1092593847279163,0.3413793521924531,-0.034899587200084126,0.8533657778982604,1
49,0.5839563886506006,-0.6908126892153763,-1.451881632375897,1.369773100542505,0.8473789798553977,1
50,-0.5555334068809967,-0.30155544420200386,-0.25650137089463976,0.4337562387636581,0.8525869216429611,1
51,-1.0228242009020676,-0.14341439986584512,0.2351856776909368,0.0483415716361798,0.8532274399247066,1
52,-1.2482489401798706,-0.06712592137510343,0.47237936126407853,-0.13758548270064397,0.8535364309609363,1
53,-0.5377790482582586,-0.30756389300956133,-0.27518264667074743,0.4483997761630615,0.8525625856375786,1
54,-1.3422614325009874,-0.10185544391062251,0.6372946459352223,-0.28511535649643843,0.786824222677816,1
55,-1.075845785167092,-0.1254707792867279,0.2909754056551166,0.004610138208551939,0.8533001169268719,1
